,consumer_c,broker_c,resourceRequestTime_c,resourceRequestTimeDelta_c,resourceRequestedTime_c,resourceRequestedTimeDelta_c,provider_c,token_c,tags_c,priority_c,resourceRespondedTime_c,resourceRespondedTimeDelta_c,offloadTaskTime_c,offloadTaskTimeDelta_c,offloadedTaskTime_c,offloadedTaskTimeDelta_c,executionTime_c,resultReturnedTime_c,resultReturnedTimeDelta_c,totalTime_c,networkTime_c,provider_p,broker_p,benchmark_p,consumer_p,token_p,tags_p,offloadTaskTime_p,offloadTaskTimeDelta_p,executingTime_p,executingTimeDelta_p,executionTime_p,executedTime_p,executedTimeDelta_p,returnedResult_p,returnedResultDelta_p,totalTime_p,networkTime_p,consumer_b,resourceRequestTime_b,resourceRequestTimeDelta_b,provider_b,benchmark_b,token_b,tags_b,priority_b,assignResourceTime_b,assignResourceTimeDelta_b,resourceRespondedTime_b,resourceRespondedTimeDelta_b,totalTime_b,networkTime_b,networkTime
0,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678389241734,0,1678389241803,68,23fe781f968f356a4f7b7b35b4c4587ecad6943032c565026ecf3694b8419b46,mloam9,cloud,0,1678389241832,29,1678389241934,102,1678389241970,36,3,1678389242294,325,560,104,23fe781f968f356a4f7b7b35b4c4587ecad6943032c565026ecf3694b8419b46,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,587,afef61de58dbcfa478984079023af64421bbe00fea5a16b47c65566b73738dce,mloam9,cloud,1678389242104,0,1678389242127,23,3,1678389242246,119,1678389242302,56,198,56,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678389241802,0,23fe781f968f356a4f7b7b35b4c4587ecad6943032c565026ecf3694b8419b46,587,mloam9,cloud,0,1678389241803,0,1678389241831,29,29,29,189
1,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678389244876,0,1678389244880,4,d2475dac2796550c78ee74b0a35a2ec4bd476190a5101c654e7aef31b3feaff8,z36brl,cloud,0,1678389244883,3,1678389245323,440,1678389245507,183,0,1678389245539,33,663,187,d2475dac2796550c78ee74b0a35a2ec4bd476190a5101c654e7aef31b3feaff8,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,373,639f177036e879e7323a7fd31d1ee7338b79d77479f5fea6f2b7826c55f1fb4e,z36brl,cloud,1678389245419,0,1678389245419,0,0,1678389245438,19,1678389245634,195,214,195,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678389244880,0,d2475dac2796550c78ee74b0a35a2ec4bd476190a5101c654e7aef31b3feaff8,373,z36brl,cloud,0,1678389244880,0,1678389244886,6,6,6,388
2,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678389247894,0,1678389247896,1,ab9748fa853d31bd0f0c46fc77249f4e4d15ee3f34d02720daaf62ad853beb86,4o8zhq,cloud,0,1678389247898,2,1678389247952,54,1678389248003,52,0,1678389248032,28,137,53,ab9748fa853d31bd0f0c46fc77249f4e4d15ee3f34d02720daaf62ad853beb86,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,426,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,4o8zhq,edge,1678389247976,0,1678389247977,0,0,1678389248002,26,1678389248052,50,76,50,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678389247895,0,ab9748fa853d31bd0f0c46fc77249f4e4d15ee3f34d02720daaf62ad853beb86,426,4o8zhq,edge,0,1678389247895,0,1678389247899,3,3,3,106
3,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678389250912,0,1678389250918,5,025482230a223925aa675d234bf740664795aecb78a3d669a08c15a259ef215f,3i22v5,cloud,0,1678389250920,3,1678389250969,48,1678389251024,55,0,1678389251033,9,120,60,025482230a223925aa675d234bf740664795aecb78a3d669a08c15a259ef215f,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,279,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,3i22v5,edge,1678389250988,0,1678389250988,0,0,1678389251003,14,1678389251051,48,62,48,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678389250918,0,025482230a223925aa675d234bf740664795aecb78a3d669a08c15a259ef215f,279,3i22v5,edge,0,1678389250918,0,1678389250923,5,5,5,113
4,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678389253927,0,1678389253931,4,6700c3b1696d5b48628b8bb6882611b6d9b85397c8e1f78d660df28577ca249d,eyievm,cloud,0,1678389253932,1,1678389253982,50,1678389254031,49,0,1678389254065,34,138,53,6700c3b1696d5b48628b8bb6882611b6d9b85397c8e1f78d660df28577ca249d,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,299,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,eyievm,edge,1678389254003,0,1678389254004,1,0,1678389254033,29,1678389254083,49,79,49,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678389253930,0,6700c3b1696d5b48628b8bb6882611b6d9b85397c8e1f78d660df28577ca249d,299,eyievm,edge,0,1678389253930,0,1678389253937,7,7,7,109
5,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678389256942,0,1678389256948,6,0bad405dada703f84079dc68387d53ace4f5145887680ae92cbac5b6529b3555,1s5pze,cloud,0,1678389256956,7,1678389257009,54,1678389257054,44,0,1678389257088,35,146,50,0bad405dada703f84079dc68387d53ace4f5145887680ae92cbac5b6529b3555,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,369,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1s5pze,edge,1678389257028,0,1678389257029,0,0,1678389257063,34,1678389257106,43,77,43,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678389256947,0,0bad405dada703f84079dc68387d53ace4f5145887680ae92cbac5b6529b3555,369,1s5pze,edge,0,1678389256947,0,1678389256958,10,10,10,103
6,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678389259961,0,1678389259963,1,f999761e7e34cbe937796d5b04c03b4900bef13bf807d5e3f9339fa7fbd8bb28,ihnne4,cloud,0,1678389259966,3,1678389260413,447,1678389260604,191,0,1678389260626,23,665,192,f999761e7e34cbe937796d5b04c03b4900bef13bf807d5e3f9339fa7fbd8bb28,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,412,3a2e5e7d50a6dc370dd1b857624c913f852474000e4b6b777e58c9f138dde10f,ihnne4,cloud,1678389260512,0,1678389260512,0,0,1678389260526,14,1678389260723,197,211,197,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678389259963,0,f999761e7e34cbe937796d5b04c03b4900bef13bf807d5e3f9339fa7fbd8bb28,412,ihnne4,cloud,0,1678389259964,0,1678389259972,8,8,8,397
7,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678389262980,0,1678389262985,5,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,81npq4,cloud,0,1678389262989,4,1678389263435,445,1678389263631,197,0,1678389263644,12,663,202,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,442,3ef65c8f6e87aefaf0d65df61230ddf78f27fdf9ac034e3ef997f1f7754019ca,81npq4,cloud,1678389263539,0,1678389263540,0,0,1678389263549,9,1678389263741,192,201,192,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678389262985,0,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,442,81npq4,cloud,0,1678389262985,0,1678389262993,8,8,8,402
8,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678389265995,0,1678389266001,6,4a522fcf60d00ae2d1a57fb3d23431d0c9bd2119f3b1c5ebfc0134a9be57d472,i81zdu,cloud,0,1678389266003,2,1678389266450,447,1678389266644,194,0,1678389266663,19,668,200,4a522fcf60d00ae2d1a57fb3d23431d0c9bd2119f3b1c5ebfc0134a9be57d472,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,391,d19336d2b57e9480fc2104cc78bbb5e1d4fa43a124421fbbb1ea04ffaf06a4ce,i81zdu,cloud,1678389266552,0,1678389266552,0,0,1678389266565,12,1678389266761,197,209,197,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678389266000,0,4a522fcf60d00ae2d1a57fb3d23431d0c9bd2119f3b1c5ebfc0134a9be57d472,391,i81zdu,cloud,0,1678389266001,0,1678389266013,13,13,13,410
9,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678389269009,0,1678389269018,8,4f52d914564aa52b782305d197d370e13d113b4e08dca354dca9642bef5adbf1,mwl39s,cloud,0,1678389269021,3,1678389269074,53,1678389269126,52,0,1678389269146,21,137,60,4f52d914564aa52b782305d197d370e13d113b4e08dca354dca9642bef5adbf1,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,390,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,mwl39s,edge,1678389269098,0,1678389269098,0,0,1678389269117,19,1678389269170,53,72,53,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678389269016,0,4f52d914564aa52b782305d197d370e13d113b4e08dca354dca9642bef5adbf1,390,mwl39s,edge,0,1678389269016,0,1678389269022,6,6,6,119
