,consumer_c,broker_c,resourceRequestTime_c,resourceRequestTimeDelta_c,resourceRequestedTime_c,resourceRequestedTimeDelta_c,provider_c,token_c,tags_c,priority_c,resourceRespondedTime_c,resourceRespondedTimeDelta_c,offloadTaskTime_c,offloadTaskTimeDelta_c,offloadedTaskTime_c,offloadedTaskTimeDelta_c,executionTime_c,resultReturnedTime_c,resultReturnedTimeDelta_c,totalTime_c,networkTime_c,provider_p,broker_p,benchmark_p,consumer_p,token_p,tags_p,offloadTaskTime_p,offloadTaskTimeDelta_p,executingTime_p,executingTimeDelta_p,executionTime_p,executedTime_p,executedTimeDelta_p,returnedResult_p,returnedResultDelta_p,totalTime_p,networkTime_p,consumer_b,resourceRequestTime_b,resourceRequestTimeDelta_b,provider_b,benchmark_b,token_b,tags_b,priority_b,assignResourceTime_b,assignResourceTimeDelta_b,resourceRespondedTime_b,resourceRespondedTimeDelta_b,totalTime_b,networkTime_b,networkTime
0,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388910944,0,1678388911050,105,4a522fcf60d00ae2d1a57fb3d23431d0c9bd2119f3b1c5ebfc0134a9be57d472,1o0sg2,cloud,0,1678388911073,23,1678388911521,449,1678388911733,211,1,1678388911888,155,943,316,4a522fcf60d00ae2d1a57fb3d23431d0c9bd2119f3b1c5ebfc0134a9be57d472,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,361,afef61de58dbcfa478984079023af64421bbe00fea5a16b47c65566b73738dce,1o0sg2,cloud,1678388911727,0,1678388911733,6,1,1678388911779,45,1678388911986,208,259,208,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388911026,0,4a522fcf60d00ae2d1a57fb3d23431d0c9bd2119f3b1c5ebfc0134a9be57d472,361,1o0sg2,cloud,0,1678388911026,0,1678388911078,52,52,52,576
1,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388914060,0,1678388914072,11,6700c3b1696d5b48628b8bb6882611b6d9b85397c8e1f78d660df28577ca249d,lbw669,cloud,0,1678388914082,10,1678388914134,52,1678388914181,47,0,1678388914213,32,152,58,6700c3b1696d5b48628b8bb6882611b6d9b85397c8e1f78d660df28577ca249d,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,292,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,lbw669,edge,1678388914152,0,1678388914153,0,0,1678388914183,30,1678388914230,47,77,47,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388914072,0,6700c3b1696d5b48628b8bb6882611b6d9b85397c8e1f78d660df28577ca249d,292,lbw669,edge,0,1678388914072,0,1678388914083,11,11,11,116
2,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388917064,0,1678388917072,8,1d31065a1def948e7b3145ee36e1ca2cce53e2820a7b60a93b430cc6e65d9edf,nmgfde,cloud,0,1678388917077,5,1678388917129,51,1678388917178,50,0,1678388917194,16,130,58,1d31065a1def948e7b3145ee36e1ca2cce53e2820a7b60a93b430cc6e65d9edf,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,205,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,nmgfde,local,1678388917155,0,1678388917155,0,0,1678388917168,13,1678388917219,50,63,50,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388917072,0,1d31065a1def948e7b3145ee36e1ca2cce53e2820a7b60a93b430cc6e65d9edf,205,nmgfde,local,0,1678388917072,0,1678388917084,12,12,12,120
3,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388920080,0,1678388920086,5,612e8c92f41512be6f5c29e48065a2d13f1fada2b1139540893181349b403024,5ykpme,cloud,0,1678388920087,1,1678388920129,42,1678388920169,40,0,1678388920185,17,105,45,612e8c92f41512be6f5c29e48065a2d13f1fada2b1139540893181349b403024,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,342,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,5ykpme,edge,1678388920147,0,1678388920147,0,0,1678388920162,14,1678388920202,41,55,41,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388920084,0,612e8c92f41512be6f5c29e48065a2d13f1fada2b1139540893181349b403024,342,5ykpme,edge,0,1678388920084,0,1678388920088,4,4,4,90
4,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388923103,0,1678388923106,2,edcdea2914578a11b02c88adddd5e81994ad36501fb5d56b7e98bfff33bf10ae,762yvy,cloud,0,1678388923109,3,1678388923549,441,1678388923734,185,0,1678388923754,20,651,187,edcdea2914578a11b02c88adddd5e81994ad36501fb5d56b7e98bfff33bf10ae,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,317,b44f7ff144c26d9a708b79ad2e33373880de49ac7dbb3b4a098d3362174c9b00,762yvy,cloud,1678388923642,0,1678388923643,0,0,1678388923658,15,1678388923845,188,203,188,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388923105,0,edcdea2914578a11b02c88adddd5e81994ad36501fb5d56b7e98bfff33bf10ae,317,762yvy,cloud,0,1678388923105,0,1678388923115,10,10,10,385
5,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388926115,0,1678388926122,6,595d0f9b0643ac846dd31a9a50c0da9d3566fe117ff16f282f971fa01010366c,5p7n25,cloud,0,1678388926138,17,1678388926183,45,1678388926228,45,3,1678388926260,31,144,51,595d0f9b0643ac846dd31a9a50c0da9d3566fe117ff16f282f971fa01010366c,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,318,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,5p7n25,edge,1678388926209,0,1678388926210,1,3,1678388926236,26,1678388926278,42,69,42,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388926117,0,595d0f9b0643ac846dd31a9a50c0da9d3566fe117ff16f282f971fa01010366c,318,5p7n25,edge,0,1678388926118,0,1678388926141,23,23,23,116
6,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388929124,0,1678388929131,6,224b7d28c918e1c6492756ff998283599c771ca2e2774ecdfe9c69edc6906c13,uf0er2,cloud,0,1678388929134,3,1678388929187,53,1678388929240,53,0,1678388929252,13,128,59,224b7d28c918e1c6492756ff998283599c771ca2e2774ecdfe9c69edc6906c13,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,274,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,uf0er2,local,1678388929213,0,1678388929214,0,0,1678388929224,10,1678388929277,54,64,54,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388929130,0,224b7d28c918e1c6492756ff998283599c771ca2e2774ecdfe9c69edc6906c13,274,uf0er2,local,0,1678388929131,0,1678388929138,7,7,7,120
7,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388932133,0,1678388932138,4,c53edbefe56b3025f5e8f2fec9443e23e85a6fc4b72cde1d7317c76d22597b74,skaplq,cloud,0,1678388932141,4,1678388932231,90,1678388932258,27,0,1678388932314,55,180,31,c53edbefe56b3025f5e8f2fec9443e23e85a6fc4b72cde1d7317c76d22597b74,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,695,b750b59fce5c369e85a599416d617d6bd09c719998359f85bfd323488d6007e5,skaplq,cloud,1678388932243,0,1678388932243,0,0,1678388932284,41,1678388932324,40,81,40,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388932138,0,c53edbefe56b3025f5e8f2fec9443e23e85a6fc4b72cde1d7317c76d22597b74,695,skaplq,cloud,0,1678388932138,0,1678388932146,8,8,8,79
8,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388935142,0,1678388935144,1,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,q8r85l,cloud,0,1678388935145,2,1678388935591,446,1678388935781,190,0,1678388935798,16,655,191,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,373,566e4cf2bebb4abe661d35ccdfaceefc56bcea2e6a6dc5973ef75bcf32d3225f,q8r85l,cloud,1678388935690,0,1678388935691,0,0,1678388935704,13,1678388935895,192,205,192,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388935143,0,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,373,q8r85l,cloud,0,1678388935144,0,1678388935149,6,6,6,389
9,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388938173,0,1678388938179,5,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,xm6ek5,cloud,0,1678388938188,9,1678388938262,74,1678388938289,27,0,1678388938333,44,159,32,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,577,8eb27c9e3b3606b8f5fe076e48e4078d74906d3e88ee9e5b16ba90fd16f71a1e,xm6ek5,cloud,1678388938276,0,1678388938276,0,0,1678388938307,31,1678388938348,41,72,41,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388938178,0,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,577,xm6ek5,cloud,0,1678388938179,0,1678388938189,10,10,10,83
