,consumer_c,broker_c,resourceRequestTime_c,resourceRequestTimeDelta_c,resourceRequestedTime_c,resourceRequestedTimeDelta_c,provider_c,token_c,tags_c,priority_c,resourceRespondedTime_c,resourceRespondedTimeDelta_c,offloadTaskTime_c,offloadTaskTimeDelta_c,offloadedTaskTime_c,offloadedTaskTimeDelta_c,executionTime_c,resultReturnedTime_c,resultReturnedTimeDelta_c,totalTime_c,networkTime_c,provider_p,broker_p,benchmark_p,consumer_p,token_p,tags_p,offloadTaskTime_p,offloadTaskTimeDelta_p,executingTime_p,executingTimeDelta_p,executionTime_p,executedTime_p,executedTimeDelta_p,returnedResult_p,returnedResultDelta_p,totalTime_p,networkTime_p,consumer_b,resourceRequestTime_b,resourceRequestTimeDelta_b,provider_b,benchmark_b,token_b,tags_b,priority_b,assignResourceTime_b,assignResourceTimeDelta_b,resourceRespondedTime_b,resourceRespondedTimeDelta_b,totalTime_b,networkTime_b,networkTime
0,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678367662185,0,1678367662264,79,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,f7id06,cloud,0,1678367662299,34,1678367662745,447,1678367662953,208,1,1678367663138,185,953,287,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,319,afef61de58dbcfa478984079023af64421bbe00fea5a16b47c65566b73738dce,f7id06,cloud,1678367662969,0,1678367662972,3,1,1678367663030,57,1678367663236,206,266,206,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678367662264,0,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,319,f7id06,cloud,0,1678367662264,0,1678367662287,22,22,22,515
1,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678367667317,0,1678367667317,0,17a206886fbef16e1212b898f3a66bcaebe6341bab781c91fc9bfa8c5049ed26,hwcew1,cloud,0,1678367667319,2,1678367667761,442,1678367667948,187,6,1678367667983,35,666,187,17a206886fbef16e1212b898f3a66bcaebe6341bab781c91fc9bfa8c5049ed26,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,354,3584e04ae13c473cb0927d8128a5a13e5a2139284621b8e9839df1c4d3944543,hwcew1,cloud,1678367667856,0,1678367667857,0,6,1678367667889,32,1678367668077,188,220,188,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678367667317,0,17a206886fbef16e1212b898f3a66bcaebe6341bab781c91fc9bfa8c5049ed26,354,hwcew1,cloud,0,1678367667317,0,1678367667319,2,2,2,377
2,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678367672365,0,1678367672366,0,f999761e7e34cbe937796d5b04c03b4900bef13bf807d5e3f9339fa7fbd8bb28,tu9cgb,cloud,0,1678367672368,2,1678367672815,447,1678367673005,191,0,1678367673019,14,654,191,f999761e7e34cbe937796d5b04c03b4900bef13bf807d5e3f9339fa7fbd8bb28,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,319,53101e4c21b91efd27b682df89877d00aedc522b2caf7788ff2454e6711a59b4,tu9cgb,cloud,1678367672913,0,1678367672913,0,0,1678367672925,12,1678367673117,191,203,191,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678367672366,0,f999761e7e34cbe937796d5b04c03b4900bef13bf807d5e3f9339fa7fbd8bb28,319,tu9cgb,cloud,0,1678367672366,0,1678367672370,3,3,3,385
3,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678367677409,0,1678367677410,0,f999761e7e34cbe937796d5b04c03b4900bef13bf807d5e3f9339fa7fbd8bb28,2xlrcz,cloud,0,1678367677410,0,1678367677857,447,1678367678056,199,0,1678367678093,37,683,199,f999761e7e34cbe937796d5b04c03b4900bef13bf807d5e3f9339fa7fbd8bb28,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,319,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,2xlrcz,cloud,1678367677965,0,1678367677965,0,0,1678367677997,32,1678367678190,193,225,193,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678367677410,0,f999761e7e34cbe937796d5b04c03b4900bef13bf807d5e3f9339fa7fbd8bb28,319,2xlrcz,cloud,0,1678367677410,0,1678367677410,0,0,0,392
4,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678367682475,0,1678367682476,1,a1230d999843682759ad31476e0b6918b07aace78b5460e60885fad94320a35c,jj25ko,cloud,0,1678367682480,4,1678367683291,810,1678367683604,314,0,1678367683637,32,1161,315,a1230d999843682759ad31476e0b6918b07aace78b5460e60885fad94320a35c,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,492,858d37f827ebd21524346c30ecd63d15f2244be64a35409ba9b72034532faa74,jj25ko,cloud,1678367683452,0,1678367683452,0,0,1678367683479,27,1678367683796,317,344,317,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678367682477,0,a1230d999843682759ad31476e0b6918b07aace78b5460e60885fad94320a35c,492,jj25ko,cloud,0,1678367682477,0,1678367682480,3,3,3,635
5,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678367690885,0,1678367690885,0,a1230d999843682759ad31476e0b6918b07aace78b5460e60885fad94320a35c,23hl7w,cloud,0,1678367690887,2,1678367691697,809,1678367692010,314,2,1678367692066,56,1181,314,a1230d999843682759ad31476e0b6918b07aace78b5460e60885fad94320a35c,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,492,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,23hl7w,cloud,1678367691858,0,1678367691859,0,2,1678367691910,52,1678367692224,314,366,314,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678367690885,0,a1230d999843682759ad31476e0b6918b07aace78b5460e60885fad94320a35c,492,23hl7w,cloud,0,1678367690885,0,1678367690887,2,2,2,630
6,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678367697626,0,1678367697627,0,90079aa622fc050811227ff902c1807154be97350e2d9fc6245726efe1b40083,sx5pho,cloud,0,1678367697630,3,1678367698077,448,1678367698269,191,0,1678367698288,20,662,191,90079aa622fc050811227ff902c1807154be97350e2d9fc6245726efe1b40083,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,312,53101e4c21b91efd27b682df89877d00aedc522b2caf7788ff2454e6711a59b4,sx5pho,cloud,1678367698177,0,1678367698178,0,0,1678367698193,16,1678367698387,194,210,194,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678367697627,0,90079aa622fc050811227ff902c1807154be97350e2d9fc6245726efe1b40083,312,sx5pho,cloud,0,1678367697627,0,1678367697631,4,4,4,389
7,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678367702674,0,1678367702675,0,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,v6ntaq,cloud,0,1678367702675,0,1678367703121,447,1678367703312,190,0,1678367703329,17,654,190,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,319,981759a8957ec8f3fffc25da8dfb69d372e4c5c91d57f63e8126ecdd032ff27a,v6ntaq,cloud,1678367703220,0,1678367703221,0,0,1678367703236,15,1678367703427,191,206,191,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678367702674,0,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,319,v6ntaq,cloud,0,1678367702675,0,1678367702675,0,0,0,381
8,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678367707730,0,1678367707730,0,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,ewk3a1,cloud,0,1678367707731,1,1678367708177,446,1678367708370,192,0,1678367708396,27,666,192,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,319,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,ewk3a1,cloud,1678367708278,0,1678367708279,0,0,1678367708303,25,1678367708494,190,215,190,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678367707730,0,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,319,ewk3a1,cloud,0,1678367707731,0,1678367707731,0,0,0,382
9,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678367712794,0,1678367712796,2,c53edbefe56b3025f5e8f2fec9443e23e85a6fc4b72cde1d7317c76d22597b74,6ps5r7,cloud,0,1678367712798,1,1678367712882,84,1678367712909,28,1,1678367712933,23,138,30,c53edbefe56b3025f5e8f2fec9443e23e85a6fc4b72cde1d7317c76d22597b74,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,556,53101e4c21b91efd27b682df89877d00aedc522b2caf7788ff2454e6711a59b4,6ps5r7,cloud,1678367712894,0,1678367712895,0,1,1678367712915,21,1678367712944,28,49,28,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678367712796,0,c53edbefe56b3025f5e8f2fec9443e23e85a6fc4b72cde1d7317c76d22597b74,556,6ps5r7,cloud,0,1678367712796,0,1678367712798,2,2,2,60
